username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Alt-San Juan Isle NP",AltSanJuanIsNP,2018-02-28 21:47,7,21,"A little something for the #ParklandStrong / #NeverAgain students going back to school: This cross between a heart and a peace symbol is located slightly north of downtown Eastsound, Orcas Island. It's solar powered, about 3 feet tall, and far from other lights and power sources. pic.twitter.com/gTsklBo7pi",,,#ParklandStrong #NeverAgain,"969086629489995776",https://twitter.com/AltSanJuanIsNP/status/969086629489995776
"Melek Ortabasi",MOrtabasi,2018-02-28 21:27,13,35,"We keep our promises. #ParentsPromiseToKids #PPTK #SafetyOverGuns @parentspromise #NeverAgain #copolitics @roganslist Get your contract here: https://www.parentspromisetokids.org pic.twitter.com/F6A7AT3b57",,@parentspromise @roganslist,#ParentsPromiseToKids #PPTK #SafetyOverGuns #NeverAgain #copolitics,"969081599177273344",https://twitter.com/MOrtabasi/status/969081599177273344
"Kim Franklin-Magana",InspiringU2,2018-02-28 21:24,29,35,"The number of colleges standing with students in their crusade against gun violence has skyrocketed! Over 200+, and counting! https://www.motherjones.com/politics/2018/02/the-number-of-colleges-standing-with-students-in-their-crusade-against-gun-violence-has-skyrocketed/ … via @MotherJones #NeverAgain #MSDSTRONG",,@MotherJones,#NeverAgain #MSDSTRONG,"969080864176070656",https://twitter.com/InspiringU2/status/969080864176070656
"Ryan Deitsch",Ryan_Deitsch,2018-02-28 21:18,73,277,"The only problem I see is the 17 who cannot answer to your misguided commentary. #NeverAgain https://twitter.com/tomilahren/status/969005336303616000 …",,,#NeverAgain,"969079419204710402",https://twitter.com/Ryan_Deitsch/status/969079419204710402
"SAMom",activ_istmom,2018-02-28 21:05,11,52,"We the People like each other just fine. We like #BackgroundChecks We like #redflaglaws We like #GunReformNow It’s you and your refusal to enact common sense gun laws that we don’t care for. #ThrowThemOut #NeverAgain #NotOneMore",,,#BackgroundChecks #redflaglaws #GunReformNow #ThrowThemOut #NeverAgain #NotOneMore,"969076242493386753",https://twitter.com/activ_istmom/status/969076242493386753
"The Warax. 🦛💨",iAmTheWarax,2018-02-28 20:56,37,108,"The plan the NRA offers to us after every shooting is the same: More guns. Because they don't exist to safe-guard our children nor to protect our rights as citizens. The NRA exists to protect the profits of gun manufacturers, no matter the human cost. #neveragain pic.twitter.com/XDA62PvcHh",,,#neveragain,"969073870664814592",https://twitter.com/iAmTheWarax/status/969073870664814592
"Krista Vernoff",KristaVernoff,2018-02-28 20:50,18,100,"You guys. @Emma4Change #ParklandStrong #NeverAgain YOU ARE DOING IT!!!! This is YOU. We are with you. Do not lose heart. https://twitter.com/Quadrant4change/status/968998295682076672 …",,@Emma4Change,#ParklandStrong #NeverAgain,"969072401479712769",https://twitter.com/KristaVernoff/status/969072401479712769
"The Stream",AJStream,2018-02-28 20:30,20,15,"Are you a gun owner? What do you think of the #NeverAgain movement? Tweet us your thoughts for our show on Thursday. pic.twitter.com/Hx4rkNarff",,,#NeverAgain,"969067258021666816",https://twitter.com/AJStream/status/969067258021666816
"Newtown Action",NewtownAction,2018-02-28 20:21,36,34,"He disarmed a possible church shooter — then the police arrived and shot him https://www.nbcnews.com/news/us-news/he-disarmed-possible-church-shooter-then-police-arrived-shot-him-n851816 … via @nbcnews #NeverAgain",,@nbcnews,#NeverAgain,"969064963846307840",https://twitter.com/NewtownAction/status/969064963846307840
"Indivisible Illinois",IndivisibleIL,2018-02-28 20:17,17,21,"Wow @RepLaHood is proud to have #NRA endorsement. Let’s show him how we feel about members of Congress who cozy up to the #NRA. #twill #BoycottTheNRA #BoycottNRA #IL18 #Indivisible #NeverAgain #ExpectUs #enough @MomsDemand @IndivisibleTeam @IndivisiblePIA @IndivisibleMcLhttps://twitter.com/electlahood/status/795807455779422208 …",,@RepLaHood @MomsDemand @IndivisibleTeam @IndivisiblePIA @IndivisibleMcLhttps,#NRA #NRA #twill #BoycottTheNRA #BoycottNRA #IL18 #Indivisible #NeverAgain #ExpectUs #enough,"969064003250085893",https://twitter.com/IndivisibleIL/status/969064003250085893
