username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Emily Andrews",byEmilyAndrews,2018-03-23 04:21,40,127,"VIDEO: The 2000 school kids @EikonExhibition in Belfast had no idea #princeharry & #meghan were coming today. When the couple were announced, the room went wild. A rock-star welcome. Amazing the Space is a N Irish youth-led peace initiative. M&H now watching video presentation pic.twitter.com/fFLmhsyJ1q",,@EikonExhibition,#princeharry #meghan,"977143381968281601",https://twitter.com/byEmilyAndrews/status/977143381968281601
"CGTN",CGTNOfficial,2018-03-22 17:26,29,126,"Sealed and posted: #PrinceHarry and #MeghanMarkle's royal wedding invitations revealed https://goo.gl/41WHHu pic.twitter.com/eP5VRUP1D8",,,#PrinceHarry #MeghanMarkle,"976978396029665280",https://twitter.com/CGTNOfficial/status/976978396029665280
"ABP News",abpnewstv,2018-03-22 10:33,18,88,"#PrinceHarry and #MeghanMarkles Wedding Invitations Are Out!' #RoyalWedding pic.twitter.com/MSs0p6OGwI",,,#PrinceHarry #MeghanMarkles #RoyalWedding,"976874426527633410",https://twitter.com/abpnewstv/status/976874426527633410
"Tinsel💖🐾😻",TinselTheCat,2018-03-22 09:50,10,52,"I’m waiting patiently for my invite to THE wedding of the fabulous #PrinceHarry & lovely #MeganMarkle Mummy says if my invite gets lost in the post we are going to have Pimms & cake (staff) and Wiltshire Ham & Dreamies (me) to help the celebrations along. #HatShopping pic.twitter.com/cDttjDx6hq",,,#PrinceHarry #MeganMarkle #HatShopping,"976863742137978882",https://twitter.com/TinselTheCat/status/976863742137978882
"Roya Nikkhah",RoyaNikkhah,2018-03-22 07:48,11,37,"Royal wedding invitations are by @BarnardWestwood which holds a royal warrant. Dress code is uniform, morning coat or lounge suit, so reckon we’ll see #PrinceHarry in his Royal Marines uniform after all #harryandmeghan #RoyalWedding pic.twitter.com/NsN8Th69b2",,@BarnardWestwood,#PrinceHarry #harryandmeghan #RoyalWedding,"976833025219661824",https://twitter.com/RoyaNikkhah/status/976833025219661824
"Emily Nash",emynash,2018-03-22 03:10,8,32,"For those asking, here’s that @USAHOLA cover in English! On the newsstands today for US tweeps! #harryandmeghan #RoyalWedding #PrinceHarry #MeghanMarkle pic.twitter.com/lab873QHnO",,@USAHOLA,#harryandmeghan #RoyalWedding #PrinceHarry #MeghanMarkle,"976762949913251840",https://twitter.com/emynash/status/976762949913251840
"MeghansFashion.com",meghansfashion,2018-03-15 07:20,12,44,"The #royalwedding is officially happening! The Queen has given her formal consent at a meeting of the Privy Council for the marriage between her most dearly beloved grandson #PrinceHarry and #MeghanMarkle pic.twitter.com/nTxhlzYmYJ",,,#royalwedding #PrinceHarry #MeghanMarkle,"974289352330133506",https://twitter.com/meghansfashion/status/974289352330133506
"King's Centre for Military Health Research",kcmhr,2018-03-15 04:38,23,72,"HRH #PrinceHarry takes to the stage at #vmhc2018 to talk about #veterans #mentalhealth pic.twitter.com/DAngzk472M",,,#PrinceHarry #vmhc2018 #veterans #mentalhealth,"974248535708270593",https://twitter.com/kcmhr/status/974248535708270593
"King's Centre for Military Health Research",kcmhr,2018-03-15 01:05,8,33,"Good morning from Veterans’ Mental Health Conference: From enlistment to retirement sponsored by @FiMTrust – we will be live tweeting all day via #vmhc2018 #exciting #mentalhealth #princeharry #veteran pic.twitter.com/wHdH6XYYpi",,@FiMTrust,#vmhc2018 #exciting #mentalhealth #princeharry #veteran,"974194985540218880",https://twitter.com/kcmhr/status/974194985540218880
"King's Centre for Military Health Research",kcmhr,2018-03-14 08:25,15,32,"A SUPERB line-up for #vmhc2018 together with our Royal visitor HRH #PrinceHarry tomorrow. We’re very excited, you can get involved via #vmhc2018 See who will be speaking/when http://bit.ly/2FBpJZl @KingsIoPPN pic.twitter.com/td2Otiqbar",,@KingsIoPPN,#vmhc2018 #PrinceHarry #vmhc2018,"973943183343267840",https://twitter.com/kcmhr/status/973943183343267840
"AP Entertainment",APEntertainment,2018-03-13 11:59,16,50,"Royal watchers are gearing up to party on the wedding day of #PrinceHarry and Meghan Markle http://apne.ws/moe2RzI",,,#PrinceHarry,"973634648768204800",https://twitter.com/APEntertainment/status/973634648768204800
"Archbishop Angaelos ن",BishopAngaelos,2018-03-12 16:50,81,296,"A warm impromptu meeting with HRH #PrinceHarry and #MeghanMarkle at @WAbbey today after #CommonwealthService. Briefly discussed youth ministry and thanked them for their valuable work with young people...also assured them of our prayers in preparation for their #RoyalWedding pic.twitter.com/udT7wpCX3Z",,@WAbbey,#PrinceHarry #MeghanMarkle #CommonwealthService #RoyalWedding,"973345588329766913",https://twitter.com/BishopAngaelos/status/973345588329766913
"Mark Cuthbert",markacuthbert,2018-03-12 10:23,22,96,"Meghan Markle joins Prince Harry for her first Commonwealth Day Service @wabbey #MeghanMarkle #PrinceHarry #CommonwealthDay #Royals pic.twitter.com/eoeqVCyQ7g",,@wabbey,#MeghanMarkle #PrinceHarry #CommonwealthDay #Royals,"973248077426503684",https://twitter.com/markacuthbert/status/973248077426503684
"Rickey Smiley",RickeySmiley,2018-03-12 09:49,72,332,"#MichelleObama and #BarackObama are expected to attend #MeghanMarkle and #PrinceHarry's wedding, and #Beyonce and #JAYZ might be there, too: http://bit.ly/2DkaVwf No word about #DonaldTrump and #MelaniaTrump being invited.",,,#MichelleObama #BarackObama #MeghanMarkle #PrinceHarry #Beyonce #JAYZ #DonaldTrump #MelaniaTrump,"973239511302987776",https://twitter.com/RickeySmiley/status/973239511302987776
"Rebecca English",RE_DailyMail,2018-03-12 09:34,31,144,"#MeghanMarkle and #PrinceHarry after the #CommonwealthDay service pic.twitter.com/z3fSBr1Uj5",,,#MeghanMarkle #PrinceHarry #CommonwealthDay,"973235899663290370",https://twitter.com/RE_DailyMail/status/973235899663290370
"Rebecca English",RE_DailyMail,2018-03-12 08:11,89,261,"#MeghanMarkle arrives with #PrinceHarry, William and Kate - Meghan in a dress and coat by Amanda Wakeley with hat by Stephen Jones, Kate in a @Beulahlondon dress and coat and Lock and Co hat pic.twitter.com/Kafzpt7X86",,@Beulahlondon,#MeghanMarkle #PrinceHarry,"973214897839443969",https://twitter.com/RE_DailyMail/status/973214897839443969
"King's Centre for Military Health Research",kcmhr,2018-03-12 07:07,15,30,"3 days to go until Veterans’ Mental Health Conference: From enlistment to retirement sponsored by @FiMTrust with #PrinceHarry Follow the conference using #vmhc2018 to get the latest updates. More info about the day here http://bit.ly/2FBpJZl #veteran #military #mentalhealth pic.twitter.com/7EDTwC2l3N",,@FiMTrust,#PrinceHarry #vmhc2018 #veteran #military #mentalhealth,"973198807646253057",https://twitter.com/kcmhr/status/973198807646253057
