username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"SupernaturalWiki #RideOrDie",SuperWiki,2018-05-24 15:20,18,171,"This thread. Huge admiration for Misha's stand #GunControlNow https://twitter.com/mishacollins/status/999480267650752512 …",,,#GunControlNow,"999777160524062720",https://twitter.com/SuperWiki/status/999777160524062720
"🇧ILL 🇦UCL🌋IR 🌊",bill_auclair,2018-05-24 12:23,58,90,"#NRAIsATerroristOrganization embraces limiting #1stAmendment rights to a free press, basically to boost #2ndAmendment and pimp more guns. No words to adequately describe how heinous and un-American this is. #GunControlNow #TheResistance #FBR #ThursdayThoughts @docrocktex26https://twitter.com/TeaPainUSA/status/999720920540434432 …",,@docrocktex26https,#NRAIsATerroristOrganization #1stAmendment #2ndAmendment #GunControlNow #TheResistance #FBR #ThursdayThoughts,"999732709730598912",https://twitter.com/bill_auclair/status/999732709730598912
"Jaina Solo",JainaResists,2018-05-24 11:59,21,45,"Waiting for the @GOP to outlaw water before they do anything about all the mass shootings. Because @TomiLahren getting water thrown at her is worse than all the kids who are scared to go to school because they might die. #GunControlNow #NeverAgain #TomiLahren pic.twitter.com/x9xQ1if4zC",,@GOP @TomiLahren,#GunControlNow #NeverAgain #TomiLahren,"999726627218112512",https://twitter.com/JainaResists/status/999726627218112512
"Funny Libertarian",funylibertarian,2018-05-24 11:26,13,65,"Even Uber liberal NJ is like “nah we good” when state officials starting coming after the second amendment. #GunSense #GunControlNow pic.twitter.com/TmV2UgkC2P",,,#GunSense #GunControlNow,"999718207643619329",https://twitter.com/funylibertarian/status/999718207643619329
"Iche_me!",iche_me,2018-05-24 10:44,51,47,"So NH teachers could get a $100K death benefit if they die in a school shooting?? Great, problem solved! No need for #GunControlNow, we have #PayoffVictimsNow!https://www.cnn.com/2018/05/24/us/new-hampshire-teacher-benefit-trnd/index.html …",,,#GunControlNow #PayoffVictimsNow,"999707609895665664",https://twitter.com/iche_me/status/999707609895665664
"Sandy Simons MD",ERGoddessMD,2018-05-24 04:13,9,66,"Today is my son’s 12th birthday. #ByAge35 he should be able to go to a school, church or concert without worrying about being a mass shooting casualty. #GunControlNow #docs4gunsense",,,#ByAge35 #GunControlNow #docs4gunsense,"999609355732471808",https://twitter.com/ERGoddessMD/status/999609355732471808
"Sally Deal",SallyDeal4,2018-05-23 17:09,45,34,"This is a few months old - still worth taking a look. BBC News - America's gun culture in 10 charts. We simply can't ignore the problem and think things will improve. #NoRA #NeverAgain #GunControlNow #CommonSenseGunLawshttp://www.bbc.com/news/world-us-canada-41488081 …",,,#NoRA #NeverAgain #GunControlNow #CommonSenseGunLawshttp,"999442133709815808",https://twitter.com/SallyDeal4/status/999442133709815808
"Ryan",Ryan_Marsh_,2018-05-23 14:34,6,36,"4 years ago today, I lost my older sister. 4 years laters and I’m still mourning the loss of her life every single day #GunControlNow",,,#GunControlNow,"999403172664958976",https://twitter.com/Ryan_Marsh_/status/999403172664958976
"Nazia Memon",NaziaMemon01,2018-05-23 14:27,11,83,"Grieving uncle's message to America #GunControlNow #RIPSabika may Allah give her highest place in heaven and sabr to her parents.http://www.bbc.co.uk/news/av/world-asia-44232968/texas-school-shooting-pakistani-girl-s-body-returned-home?ocid=socialflow_twitter …",,,#GunControlNow #RIPSabika,"999401417046622208",https://twitter.com/NaziaMemon01/status/999401417046622208
"Eric Swalwell",ericswalwell,2018-05-23 13:45,71,184,"No one is taking away all #firearms. But weapons of war should be left in the hands of soldiers and cops. Or at a gun range. Bet on the @NRA to overlook details to help their agenda. #gunsense #guncontrolnow https://twitter.com/NRATV/status/999064074284552193 …",,@NRA,#firearms #gunsense #guncontrolnow,"999390932318343168",https://twitter.com/ericswalwell/status/999390932318343168
